,,,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,antioxidant,antioxidant,drought,drought,metal,metal,uv,uv,salt,salt,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,antidiabetic,antidiabetic,cardiovascular,cardiovascular,obesity,obesity,rheumatism,rheumatism,antibacterial,antibacterial,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,anti-inflammatory,anti-inflammatory,arthritis,arthritis,burns,burns,wound,wound,anticancer,anticancer,cytotoxicity,cytotoxicity,sedative,sedative,toxicity,toxicity
,,,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
alkaloid,acridine,w/o,179092,62176,240191,1077,216324,24944,234781,6487,228032,13236,241069,199,241257,11,241142,126,238832,2436,241072,196,241254,14,241229,39,240043,1225,240380,888,241208,60,241153,115,235389,5879,231144,10124,236336,4932,241197,71,221381,19887,226525,14743,219554,21714,240221,1047,232379,8889,224464,16804,233970,7298,240085,1183,234561,6707,236768,4500,202039,39229,238785,2483,215604,25664
alkaloid,acridine,w/,2430,266,2694,2,2439,257,2616,80,2533,163,2695,1,2696,0,2696,0,2685,11,2695,1,2696,0,2696,0,2688,8,2686,10,2696,0,2691,5,2682,14,2650,46,2693,3,2696,0,2569,127,2617,79,2614,82,2670,26,2579,117,2634,62,2670,26,2680,16,2619,77,2549,147,1400,1296,2688,8,2294,402
alkaloid,benzylamine,w/o,180754,62371,242046,1079,218089,25036,236581,6544,229806,13319,242925,200,243114,11,242999,126,240682,2443,242934,191,243111,14,243086,39,241894,1231,242227,898,243065,60,243006,119,237245,5880,233043,10082,238224,4901,243054,71,223142,19983,228376,14749,221352,21773,242054,1071,234143,8982,226312,16813,235813,7312,241927,1198,236360,6765,238497,4628,202725,40400,240640,2485,217161,25964
alkaloid,benzylamine,w/,768,71,839,0,674,165,816,23,759,80,839,0,839,0,839,0,835,4,833,6,839,0,839,0,837,2,839,0,839,0,838,1,826,13,751,88,805,34,839,0,808,31,766,73,816,23,837,2,815,24,786,53,827,12,838,1,820,19,820,19,714,125,833,6,737,102
alkaloid,colchicine,w/o,175968,62250,237143,1075,213101,25117,231671,6547,225006,13212,238018,200,238207,11,238092,126,235818,2400,238021,197,238204,14,238179,39,236994,1224,237321,897,238158,60,238099,119,232423,5795,228667,9551,233455,4763,238166,52,218250,19968,223527,14691,216470,21748,237161,1057,229320,8898,222230,15988,232524,5694,237051,1167,231656,6562,233742,4476,198950,39268,235761,2457,213018,25200
alkaloid,colchicine,w/,5554,192,5742,4,5662,84,5726,20,5559,187,5746,0,5746,0,5746,0,5699,47,5746,0,5746,0,5746,0,5737,9,5745,1,5746,0,5745,1,5648,98,5127,619,5574,172,5727,19,5700,46,5615,131,5698,48,5730,16,5638,108,4868,878,4116,1630,5714,32,5524,222,5575,171,4489,1257,5712,34,4880,866
alkaloid,cyclopeptide,w/o,178932,62385,240239,1078,216284,25033,234766,6551,227953,13364,241117,200,241306,11,241191,126,238888,2429,241121,196,241303,14,241279,38,240097,1220,240481,836,241257,60,241197,120,235453,5864,231225,10092,236427,4890,241253,64,221552,19765,226873,14444,219878,21439,240253,1064,232403,8914,224540,16777,234678,6639,240120,1197,234584,6733,236715,4602,201315,40002,238830,2487,215422,25895
alkaloid,cyclopeptide,w/,2590,57,2646,1,2479,168,2631,16,2612,35,2647,0,2647,0,2647,0,2629,18,2646,1,2647,0,2646,1,2634,13,2585,62,2647,0,2647,0,2618,29,2569,78,2602,45,2640,7,2398,249,2269,378,2290,357,2638,9,2555,92,2558,89,1962,685,2645,2,2596,51,2602,45,2124,523,2643,4,2476,171
