,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,antioxidant,antioxidant,drought,drought,metal,metal,salt,salt,uv,uv,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer,anticancer,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,obesity,obesity,rheumatism,rheumatism,sedative,sedative,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
*,Σ,w/,250082,185802,64280,248944,1138,224141,25941,236470,13612,243343,6739,249882,200,250071,11,249955,127,247555,2527,249882,200,250066,16,250043,39,248815,1267,249145,937,250021,61,249961,121,232709,17373,229514,20568,245271,4811,243984,6098,234974,15108,227571,22511,248972,1110,240817,9265,242590,7492,248869,1213,239708,10374,208573,41509,244972,5110,250010,72,247571,2511,243035,7047,223411,26671
abiotic,antioxidant,w/o,185802,185802,0,184941,861,161344,24458,173065,12737,179721,6081,185610,192,185792,10,185675,127,183773,2029,185608,194,185786,16,185765,37,184787,1015,184909,893,185741,61,185690,112,171625,14177,168415,17387,181598,4204,181370,4432,172110,13692,166549,19253,184740,1062,176987,8815,178580,7222,184662,1140,176515,9287,148948,36854,181281,4521,185735,67,183327,2475,179343,6459,162147,23655
abiotic,antioxidant,w/,64280,0,64280,64003,277,62797,1483,63405,875,63622,658,64272,8,64279,1,64280,0,63782,498,64274,6,64280,0,64278,2,64028,252,64236,44,64280,0,64271,9,61084,3196,61099,3181,63673,607,62614,1666,62864,1416,61022,3258,64232,48,63830,450,64010,270,64207,73,63193,1087,59625,4655,63691,589,64275,5,64244,36,63692,588,61264,3016
abiotic,drought,w/o,248944,184941,64003,248944,0,223029,25915,235441,13503,242224,6720,248744,200,248933,11,248817,127,246484,2460,248745,199,248928,16,248905,39,247686,1258,248008,936,248883,61,248823,121,231571,17373,228380,20564,244133,4811,242847,6097,233845,15099,226441,22503,247835,1109,239679,9265,241452,7492,247731,1213,238571,10373,207437,41507,243834,5110,248872,72,246433,2511,241899,7045,222288,26656
abiotic,drought,w/,1138,861,277,0,1138,1112,26,1029,109,1119,19,1138,0,1138,0,1138,0,1071,67,1137,1,1138,0,1138,0,1129,9,1137,1,1138,0,1138,0,1138,0,1134,4,1138,0,1137,1,1129,9,1130,8,1137,1,1138,0,1138,0,1138,0,1137,1,1136,2,1138,0,1138,0,1138,0,1136,2,1123,15
abiotic,metal,w/o,224141,161344,62797,223029,1112,224141,0,211277,12864,217998,6143,223942,199,224130,11,224014,127,221727,2414,223942,199,224125,16,224103,38,223026,1115,223234,907,224087,54,224036,105,206872,17269,204337,19804,219540,4601,218102,6039,209286,14855,202243,21898,223040,1101,214931,9210,216667,7474,222953,1188,213826,10315,183479,40662,219044,5097,224069,72,221641,2500,217191,6950,198427,25714
abiotic,metal,w/,25941,24458,1483,25915,26,0,25941,25193,748,25345,596,25940,1,25941,0,25941,0,25828,113,25940,1,25941,0,25940,1,25789,152,25911,30,25934,7,25925,16,25837,104,25177,764,25731,210,25882,59,25688,253,25328,613,25932,9,25886,55,25923,18,25916,25,25882,59,25094,847,25928,13,25941,0,25930,11,25844,97,24984,957
abiotic,salt,w/o,236470,173065,63405,235441,1029,211277,25193,236470,0,229867,6603,236270,200,236459,11,236343,127,234061,2409,236273,197,236454,16,236432,38,235227,1243,235545,925,236411,59,236350,120,219252,17218,216186,20284,231740,4730,230411,6059,221529,14941,214238,22232,235372,1098,227304,9166,229047,7423,235269,1201,226180,10290,196496,39974,231404,5066,236400,70,233969,2501,229515,6955,210402,26068
abiotic,salt,w/,13612,12737,875,13503,109,12864,748,0,13612,13476,136,13612,0,13612,0,13612,0,13494,118,13609,3,13612,0,13611,1,13588,24,13600,12,13610,2,13611,1,13457,155,13328,284,13531,81,13573,39,13445,167,13333,279,13600,12,13513,99,13543,69,13600,12,13528,84,12077,1535,13568,44,13610,2,13602,10,13520,92,13009,603
abiotic,uv,w/o,243343,179721,63622,242224,1119,217998,25345,229867,13476,243343,0,243143,200,243333,10,243217,126,240852,2491,243144,199,243327,16,243304,39,242084,1259,242407,936,243282,61,243222,121,226027,17316,222916,20427,238566,4777,237260,6083,228287,15056,220947,22396,242235,1108,234090,9253,235852,7491,242131,1212,232976,10367,201988,41355,238237,5106,243271,72,240834,2509,236320,7023,216794,26549
abiotic,uv,w/,6739,6081,658,6720,19,6143,596,6603,136,0,6739,6739,0,6738,1,6738,1,6703,36,6738,1,6739,0,6739,0,6731,8,6738,1,6739,0,6739,0,6682,57,6598,141,6705,34,6724,15,6687,52,6624,115,6737,2,6727,12,6738,1,6738,1,6732,7,6585,154,6735,4,6739,0,6737,2,6715,24,6617,122
allelopathy,antifeedant,w/o,249882,185610,64272,248744,1138,223942,25940,236270,13612,243143,6739,249882,0,249871,11,249756,126,247359,2523,249683,199,249866,16,249843,39,248626,1256,248945,937,249821,61,249762,120,232510,17372,229317,20565,245071,4811,243785,6097,234786,15096,227378,22504,248773,1109,240617,9265,242390,7492,248669,1213,239508,10374,208376,41506,244772,5110,249810,72,247371,2511,242835,7047,223231,26651
allelopathy,antifeedant,w/,200,192,8,200,0,199,1,200,0,200,0,0,200,200,0,199,1,196,4,199,1,200,0,200,0,189,11,200,0,200,0,199,1,199,1,197,3,200,0,199,1,188,12,193,7,199,1,200,0,200,0,200,0,200,0,197,3,200,0,200,0,200,0,200,0,180,20
allelopathy,arbuscula,w/o,250071,185792,64279,248933,1138,224130,25941,236459,13612,243333,6738,249871,200,250071,0,249944,127,247544,2527,249871,200,250055,16,250032,39,248804,1267,249134,937,250010,61,249950,121,232698,17373,229503,20568,245260,4811,243973,6098,234963,15108,227560,22511,248961,1110,240806,9265,242579,7492,248858,1213,239697,10374,208562,41509,244961,5110,249999,72,247560,2511,243024,7047,223400,26671
allelopathy,arbuscula,w/,11,10,1,11,0,11,0,11,0,10,1,11,0,0,11,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0
allelopathy,attractant,w/o,249955,185675,64280,248817,1138,224014,25941,236343,13612,243217,6738,249756,199,249944,11,249955,0,247428,2527,249755,200,249939,16,249916,39,248688,1267,249018,937,249894,61,249834,121,232582,17373,229387,20568,245144,4811,243857,6098,234847,15108,227445,22510,248845,1110,240690,9265,242463,7492,248742,1213,239581,10374,208446,41509,244845,5110,249883,72,247444,2511,242908,7047,223286,26669
