,,,*,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,alkaloid,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,phenolic compound,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,polyketide,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene,terpenoid/terpene
,,,Σ,acridine,acridine,benzylamine,benzylamine,colchicine,colchicine,cyclopeptide,cyclopeptide,imidazole,imidazole,indole,indole,indolizidine,indolizidine,isoquinoline,isoquinoline,isoxazole,isoxazole,muscarine,muscarine,oxazole,oxazole,phenylethylamine,phenylethylamine,piperidine,piperidine,purine,purine,putrescine,putrescine,pyridine,pyridine,pyrrolidine,pyrrolidine,pyrrolizidine,pyrrolizidine,quinazoline,quinazoline,quinoline,quinoline,quinolizidine,quinolizidine,spermidine,spermidine,spermine,spermine,thiazole,thiazole,tropane,tropane,acetophenone,acetophenone,anthraquinone,anthraquinone,biflavonoids,biflavonoids,flavonoids,flavonoids,isoflavanoids,isoflavanoids,lignans,lignans,naphthoquinone,naphthoquinone,phenol,phenol,phenolic acid,phenolic acid,phenylpropanoid,phenylpropanoid,stilbene,stilbene,tannin,tannin,xanthone,xanthone,acetogenin,acetogenin,ansamycin,ansamycin,macrolide,macrolide,polyene,polyene,polyether,polyether,tetracycline,tetracycline,diterpene,diterpene,hemiterpene,hemiterpene,monoterpene,monoterpene,norisoprenoid,norisoprenoid,polyterpene,polyterpene,sesquiterpene,sesquiterpene,sesterterpene,sesterterpene,tetraterpene/carotenoid/xanthophyll,tetraterpene/carotenoid/xanthophyll,triterpene,triterpene
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
*,Σ,w/,250082,247332,2750,249222,860,244172,5910,247356,2726,233263,16819,236353,13729,250009,73,248004,2078,247562,2520,250003,79,248164,1918,250013,69,243430,6652,245126,4956,249018,1064,230535,19547,246783,3299,249376,706,247288,2794,236777,13305,249930,152,248785,1297,248744,1338,238017,12065,249810,272,247920,2162,246045,4037,249298,784,206831,43251,250080,2,247593,2489,247216,2866,194844,55238,247603,2479,249205,877,244819,5263,238557,11525,248226,1856,249764,318,249962,120,243024,7058,248635,1447,249101,981,231979,18103,246615,3467,249916,166,249303,779,250004,78,250079,3,244506,5576,249889,193,239238,10844,244281,5801
alkaloid,acridine,w/o,247332,247332,0,246473,859,241438,5894,244609,2723,230555,16777,233658,13674,247259,73,245275,2057,244821,2511,247253,79,245419,1913,247263,69,240700,6632,242388,4944,246270,1062,227842,19490,244040,3292,246626,706,244554,2778,234131,13201,247181,151,246042,1290,246001,1331,235312,12020,247062,270,245177,2155,243316,4016,246548,784,204134,43198,247330,2,244847,2485,244481,2851,192189,55143,244854,2478,246455,877,242075,5257,235812,11520,245483,1849,247016,316,247212,120,240280,7052,245886,1446,246351,981,229258,18074,243869,3463,247166,166,246557,775,247254,78,247329,3,241762,5570,247139,193,236493,10839,241546,5786
alkaloid,acridine,w/,2750,0,2750,2749,1,2734,16,2747,3,2708,42,2695,55,2750,0,2729,21,2741,9,2750,0,2745,5,2750,0,2730,20,2738,12,2748,2,2693,57,2743,7,2750,0,2734,16,2646,104,2749,1,2743,7,2743,7,2705,45,2748,2,2743,7,2729,21,2750,0,2697,53,2750,0,2746,4,2735,15,2655,95,2749,1,2750,0,2744,6,2745,5,2743,7,2748,2,2750,0,2744,6,2749,1,2750,0,2721,29,2746,4,2750,0,2746,4,2750,0,2750,0,2744,6,2750,0,2745,5,2735,15
alkaloid,benzylamine,w/o,249222,246473,2749,249222,0,243313,5909,246496,2726,232427,16795,235508,13714,249149,73,247151,2071,246706,2516,249143,79,247309,1913,249155,67,242593,6629,244269,4953,248165,1057,229716,19506,245934,3288,248516,706,246437,2785,235926,13296,249071,151,247933,1289,247892,1330,237167,12055,248950,272,247072,2150,245185,4037,248438,784,205977,43245,249220,2,246733,2489,246356,2866,194018,55204,246745,2477,248346,876,243962,5260,237697,11525,247368,1854,248904,318,249102,120,242168,7054,247777,1445,248243,979,231122,18100,245756,3466,249056,166,248443,779,249144,78,249219,3,243647,5575,249029,193,238379,10843,243425,5797
alkaloid,benzylamine,w/,860,859,1,0,860,859,1,860,0,836,24,845,15,860,0,853,7,856,4,860,0,855,5,858,2,837,23,857,3,853,7,819,41,849,11,860,0,851,9,851,9,859,1,852,8,852,8,850,10,860,0,848,12,860,0,860,0,854,6,860,0,860,0,860,0,826,34,858,2,859,1,857,3,860,0,858,2,860,0,860,0,856,4,858,2,858,2,857,3,859,1,860,0,860,0,860,0,860,0,859,1,860,0,859,1,856,4
alkaloid,colchicine,w/o,244172,241438,2734,243313,859,244172,0,241448,2724,227396,16776,230546,13626,244099,73,242106,2066,241662,2510,244095,77,242271,1901,244104,68,237527,6645,239259,4913,243109,1063,224675,19497,240881,3291,243474,698,241389,2783,230922,13250,244020,152,242876,1296,242834,1338,232161,12011,243900,272,242015,2157,240145,4027,243390,782,200974,43198,244170,2,241688,2484,241313,2859,188988,55184,241694,2478,243295,877,238966,5206,232661,11511,242319,1853,243854,318,244052,120,237151,7021,242730,1442,243193,979,226169,18003,240706,3466,244006,166,243394,778,244094,78,244169,3,238611,5561,243979,193,233334,10838,238382,5790
alkaloid,colchicine,w/,5910,5894,16,5909,1,0,5910,5908,2,5867,43,5807,103,5910,0,5898,12,5900,10,5908,2,5893,17,5909,1,5903,7,5867,43,5909,1,5860,50,5902,8,5902,8,5899,11,5855,55,5910,0,5909,1,5910,0,5856,54,5910,0,5905,5,5900,10,5908,2,5857,53,5910,0,5905,5,5903,7,5856,54,5909,1,5910,0,5853,57,5896,14,5907,3,5910,0,5910,0,5873,37,5905,5,5908,2,5810,100,5909,1,5910,0,5909,1,5910,0,5910,0,5895,15,5910,0,5904,6,5899,11
alkaloid,cyclopeptide,w/o,247356,244609,2747,246496,860,241448,5908,247356,0,230552,16804,233657,13699,247283,73,245281,2075,244844,2512,247279,77,245454,1902,247287,69,240722,6634,242403,4953,246293,1063,227827,19529,244065,3291,246650,706,244564,2792,234057,13299,247205,151,246059,1297,246018,1338,235328,12028,247085,271,245194,2162,243325,4031,246573,783,204116,43240,247354,2,244868,2488,244491,2865,192134,55222,244877,2479,246480,876,242096,5260,235833,11523,245503,1853,247038,318,247236,120,240308,7048,245915,1441,246375,981,229264,18092,243890,3466,247190,166,246577,779,247278,78,247353,3,241785,5571,247163,193,236512,10844,241560,5796
