,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,antioxidant,antioxidant,drought,drought,metal,metal,salt,salt,uv,uv,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer,anticancer,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,obesity,obesity,rheumatism,rheumatism,sedative,sedative,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
*,Σ,w/,246957,183639,63318,245858,1099,221414,25543,233452,13505,240317,6640,246757,200,246946,11,246831,126,244478,2479,246758,199,246942,15,246918,39,245707,1250,246040,917,246896,61,246836,121,229791,17166,226662,20295,242224,4733,240955,6002,231966,14991,224849,22108,245856,1101,237804,9153,239550,7407,245754,1203,236686,10271,205957,41000,241925,5032,246885,72,244455,2502,240037,6920,220592,26365
alkaloid,acridine,w/o,244234,181187,63047,243137,1097,218950,25284,230892,13342,237674,6560,244035,199,244223,11,244108,126,241766,2468,244036,198,244219,15,244195,39,242992,1242,243327,907,244173,61,244118,116,227131,17103,224069,20165,239650,4584,238246,5988,229322,14912,222208,22026,243159,1075,235198,9036,236853,7381,243047,1187,234011,10223,204543,39691,239205,5029,244162,72,241740,2494,237393,6841,218279,25955
alkaloid,acridine,w/,2723,2452,271,2721,2,2464,259,2560,163,2643,80,2722,1,2723,0,2723,0,2712,11,2722,1,2723,0,2723,0,2715,8,2713,10,2723,0,2718,5,2660,63,2593,130,2574,149,2709,14,2644,79,2641,82,2697,26,2606,117,2697,26,2707,16,2675,48,1414,1309,2720,3,2723,0,2715,8,2644,79,2313,410
alkaloid,benzylamine,w/o,246108,182861,63247,245009,1099,220732,25376,232685,13423,239491,6617,245908,200,246097,11,245982,126,243633,2475,245915,193,246093,15,246069,39,244860,1248,245191,917,246047,61,245988,120,228996,17112,225844,20264,241394,4714,240119,5989,231191,14917,224023,22085,245009,1099,236979,9129,238713,7395,244906,1202,235928,10180,205235,40873,241110,4998,246036,72,243612,2496,239207,6901,219845,26263
alkaloid,benzylamine,w/,849,778,71,849,0,682,167,767,82,826,23,849,0,849,0,849,0,845,4,843,6,849,0,849,0,847,2,849,0,849,0,848,1,795,54,818,31,830,19,836,13,775,74,826,23,847,2,825,24,837,12,848,1,758,91,722,127,815,34,849,0,843,6,830,19,747,102
alkaloid,colchicine,w/o,241129,178008,63121,240034,1095,215672,25457,227812,13317,234510,6619,240929,200,241118,11,241003,126,238697,2432,240930,199,241114,15,241090,39,239888,1241,240213,916,241068,61,241009,120,224861,16268,220880,20249,236570,4559,235228,5901,226271,14858,219069,22060,240044,1085,232087,9042,235367,5762,239958,1171,231506,9623,201393,39736,236272,4857,241077,52,238661,2468,234432,6697,215632,25497
alkaloid,colchicine,w/,5828,5631,197,5824,4,5742,86,5640,188,5807,21,5828,0,5828,0,5828,0,5781,47,5828,0,5828,0,5828,0,5819,9,5827,1,5828,0,5827,1,4930,898,5782,46,5654,174,5727,101,5695,133,5780,48,5812,16,5717,111,4183,1645,5796,32,5180,648,4564,1264,5653,175,5808,20,5794,34,5605,223,4960,868
alkaloid,cyclopeptide,w/o,244269,181009,63260,243171,1098,218894,25375,230800,13469,237645,6624,244069,200,244258,11,244143,126,241808,2461,244071,198,244254,15,244231,38,243032,1237,243416,853,244208,61,244148,121,227195,17074,224227,20042,239584,4685,238297,5972,229665,14604,222523,21746,243177,1092,235212,9057,237555,6714,243068,1201,234078,10191,203805,40464,239283,4986,244204,65,241771,2498,237400,6869,218079,26190
alkaloid,cyclopeptide,w/,2688,2630,58,2687,1,2520,168,2652,36,2672,16,2688,0,2688,0,2688,0,2670,18,2687,1,2688,0,2687,1,2675,13,2624,64,2688,0,2688,0,2596,92,2435,253,2640,48,2658,30,2301,387,2326,362,2679,9,2592,96,1995,693,2686,2,2608,80,2152,536,2642,46,2681,7,2684,4,2637,51,2513,175
alkaloid,imidazole,w/o,230271,168047,62224,229180,1091,207277,22994,217965,12306,223940,6331,230074,197,230260,11,230146,125,227845,2426,230081,190,230256,15,230232,39,229069,1202,229373,898,230216,55,230152,119,214102,16169,210853,19418,225881,4390,224464,5807,217654,12617,208838,21433,229264,1007,222349,7922,223252,7019,229189,1082,221265,9006,192118,38153,225538,4733,230200,71,228256,2015,223817,6454,205690,24581
alkaloid,imidazole,w/,16686,15592,1094,16678,8,14137,2549,15487,1199,16377,309,16683,3,16686,0,16685,1,16633,53,16677,9,16686,0,16686,0,16638,48,16667,19,16680,6,16684,2,15689,997,15809,877,16343,343,16491,195,14312,2374,16011,675,16592,94,15455,1231,16298,388,16565,121,15421,1265,13839,2847,16387,299,16685,1,16199,487,16220,466,14902,1784
alkaloid,indole,w/o,233401,171430,61971,232356,1045,209369,24032,220617,12784,227049,6352,233205,196,233390,11,233288,113,231102,2299,233208,193,233386,15,233364,37,232194,1207,232653,748,233343,58,233281,120,217277,16124,214155,19246,229157,4244,227637,5764,219162,14239,212098,21303,232356,1045,225119,8282,226307,7094,232217,1184,223923,9478,196121,37280,228713,4688,233341,60,230979,2422,226839,6562,208425,24976
alkaloid,indole,w/,13556,12209,1347,13502,54,12045,1511,12835,721,13268,288,13552,4,13556,0,13543,13,13376,180,13550,6,13556,0,13554,2,13513,43,13387,169,13553,3,13555,1,12514,1042,12507,1049,13067,489,13318,238,12804,752,12751,805,13500,56,12685,871,13243,313,13537,19,12763,793,9836,3720,13212,344,13544,12,13476,80,13198,358,12167,1389
alkaloid,indolizidine,w/o,246884,183567,63317,245785,1099,221343,25541,233388,13496,240244,6640,246684,200,246873,11,246758,126,244405,2479,246685,199,246869,15,246845,39,245635,1249,245967,917,246823,61,246764,120,229720,17164,226594,20290,242157,4727,240888,5996,231897,14987,224782,22102,245785,1099,237745,9139,239478,7406,245681,1203,236613,10271,205911,40973,241852,5032,246812,72,244382,2502,239965,6919,220523,26361
alkaloid,indolizidine,w/,73,72,1,73,0,71,2,64,9,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,72,1,73,0,73,0,72,1,71,2,68,5,67,6,67,6,69,4,67,6,71,2,59,14,72,1,73,0,73,0,46,27,73,0,73,0,73,0,72,1,69,4
alkaloid,isoquinoline,w/o,244905,181726,63179,243808,1097,219513,25392,231544,13361,238286,6619,244707,198,244894,11,244779,126,242432,2473,244709,196,244890,15,244866,39,243662,1243,243991,914,244844,61,244785,120,227838,17067,224742,20163,240258,4647,238952,5953,230018,14887,222905,22000,243820,1085,236077,8828,237558,7347,243707,1198,234739,10166,204544,40361,239908,4997,244833,72,242422,2483,238013,6892,218732,26173
