;;;*;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;alkaloid;lactones;lactones;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;phenolic compound;polyketide;polyketide;polyketide;polyketide;polyketide;polyketide;polyketide;polyketide;polyketide;polyketide;polyketide;polyketide;sterols;sterols;sulphur compounds;sulphur compounds;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene;terpenoid/terpene
;;;Σ;benzylamine;benzylamine;colchicine;colchicine;cyclopeptide;cyclopeptide;imidazole;imidazole;indole;indole;indolizidine;indolizidine;isoquinoline;isoquinoline;isoxazole;isoxazole;muscarine;muscarine;oxazole;oxazole;phenylethylamine;phenylethylamine;piperidine;piperidine;purine;purine;putrescine;putrescine;pyridine;pyridine;pyrrolidine;pyrrolidine;pyrrolizidine;pyrrolizidine;quinazoline;quinazoline;quinoline;quinoline;quinolizidine;quinolizidine;spermidine;spermidine;spermine;spermine;thiazole;thiazole;tropane;tropane;lactones/strigolactones;lactones/strigolactones;acetophenone;acetophenone;anthraquinone;anthraquinone;coumarin;coumarin;flavonoids/biflavonoids/anthocyanin;flavonoids/biflavonoids/anthocyanin;isoflavanoids;isoflavanoids;lignans;lignans;naphthoquinone;naphthoquinone;phenolic acid;phenolic acid;phenylpropanoid;phenylpropanoid;stilbene;stilbene;tannin;tannin;xanthone;xanthone;acetogenin;acetogenin;ansamycin;ansamycin;macrolide;macrolide;polyene;polyene;polyether;polyether;tetracycline;tetracycline;sterols/cardenolides;sterols/cardenolides;sulphur compounds/glucosinolates;sulphur compounds/glucosinolates;diterpene;diterpene;hemiterpene;hemiterpene;monoterpene;monoterpene;norisoprenoid;norisoprenoid;polyterpene;polyterpene;sesquiterpene;sesquiterpene;sesterterpene;sesterterpene;tetraterpene/carotenoid/xanthophyll;tetraterpene/carotenoid/xanthophyll;triterpene/saponin;triterpene/saponin
;;;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/
*;Σ;w/;439830;438859;971;430405;9425;436325;3505;417366;22464;412863;26967;439688;142;436206;3624;437228;2602;439649;181;438099;1731;439476;354;426738;13092;429429;10401;437137;2693;413720;26110;434816;5014;438730;1100;434970;4860;418585;21245;439524;306;436905;2925;437086;2744;425206;14624;439320;510;424127;15703;437478;2352;432866;6964;427654;12176;341820;98010;439814;16;434414;5416;435802;4028;430772;9058;437176;2654;432090;7740;419525;20305;436899;2931;439358;472;439553;277;425501;14329;436676;3154;438395;1435;403145;36685;425914;13916;425945;13885;434697;5133;439590;240;436812;3018;439666;164;439821;9;427944;11886;439545;285;402749;37081;415829;24001
alkaloid;benzylamine;w/o;438859;438859;0;429436;9423;435355;3504;416423;22436;411925;26934;438717;142;435242;3617;436263;2596;438678;181;437129;1730;438504;355;425766;13093;428457;10402;436165;2694;412748;26111;433861;4998;437760;1099;434015;4844;417628;21231;438553;306;435945;2914;436126;2733;424246;14613;438349;510;423161;15698;436515;2344;431896;6963;426690;12169;340857;98002;438843;16;433443;5416;434832;4027;429803;9056;436206;2653;431123;7736;418555;20304;435929;2930;438387;472;438582;277;424534;14325;435708;3151;437425;1434;402177;36682;424955;13904;424975;13884;433728;5131;438619;240;435841;3018;438695;164;438850;9;426975;11884;438574;285;401781;37078;414861;23998
alkaloid;benzylamine;w/;971;0;971;969;2;970;1;943;28;938;33;971;0;964;7;965;6;971;0;970;1;972;-1;972;-1;972;-1;972;-1;972;-1;955;16;970;1;955;16;957;14;971;0;960;11;960;11;960;11;971;0;966;5;963;8;970;1;964;7;963;8;971;0;971;0;970;1;969;2;970;1;967;4;970;1;970;1;971;0;971;0;967;4;968;3;970;1;968;3;959;12;970;1;969;2;971;0;971;0;971;0;971;0;969;2;971;0;968;3;968;3
alkaloid;colchicine;w/o;430405;429436;969;430405;0;426904;3501;408030;22375;403652;26753;430263;142;426799;3606;427811;2594;430226;179;428690;1715;430053;352;417328;13077;420084;10321;427714;2691;404395;26010;425403;5002;429313;1092;425571;4834;409238;21167;430100;305;427483;2922;427663;2742;415856;14549;429898;507;414726;15679;428061;2344;423451;6954;418294;12111;332505;97900;430389;16;425008;5397;426386;4019;421357;9048;427751;2654;422759;7646;410118;20287;427478;2927;429933;472;430129;276;416138;14267;427261;3144;428974;1431;393841;36564;416498;13907;416524;13881;425275;5130;430166;239;427390;3015;430241;164;430396;9;418546;11859;430120;285;393343;37062;406445;23960
alkaloid;colchicine;w/;9425;9423;2;0;9425;9421;4;9336;89;9211;214;9425;0;9407;18;9417;8;9423;2;9409;16;9423;2;9410;15;9345;80;9423;2;9325;100;9413;12;9417;8;9399;26;9347;78;9424;1;9422;3;9423;2;9350;75;9422;3;9401;24;9417;8;9415;10;9360;65;9315;110;9425;0;9406;19;9416;9;9415;10;9425;0;9331;94;9407;18;9421;4;9425;0;9424;1;9363;62;9415;10;9421;4;9304;121;9416;9;9421;4;9422;3;9424;1;9422;3;9425;0;9425;0;9398;27;9425;0;9406;19;9384;41
alkaloid;cyclopeptide;w/o;436325;435355;970;426904;9421;436325;0;413878;22447;409411;26914;436183;142;432707;3618;433732;2593;436145;180;434612;1713;435971;354;423260;13065;425931;10394;433632;2693;410243;26082;431324;5001;435226;1099;431468;4857;415092;21233;436020;305;433400;2925;433582;2743;421740;14585;435816;509;420666;15659;433974;2351;429368;6957;424155;12170;338331;97994;436309;16;430915;5410;432300;4025;427267;9058;433674;2651;428588;7737;416023;20302;433398;2927;435853;472;436048;277;422015;14310;433181;3144;434891;1434;399656;36669;422419;13906;422461;13864;431193;5132;436085;240;433308;3017;436161;164;436316;9;424447;11878;436040;285;399244;37081;412335;23990
alkaloid;cyclopeptide;w/;3505;3504;1;3501;4;0;3505;3488;17;3452;53;3505;0;3499;6;3496;9;3504;1;3487;18;3505;0;3478;27;3498;7;3505;0;3477;28;3492;13;3504;1;3502;3;3493;12;3504;1;3505;0;3504;1;3466;39;3504;1;3461;44;3504;1;3498;7;3499;6;3489;16;3505;0;3499;6;3502;3;3505;0;3502;3;3502;3;3502;3;3501;4;3505;0;3505;0;3486;19;3495;10;3504;1;3489;16;3495;10;3484;21;3504;1;3505;0;3504;1;3505;0;3505;0;3497;8;3505;0;3505;0;3494;11
alkaloid;imidazole;w/o;417366;416423;943;408030;9336;413878;3488;417366;0;391150;26216;417226;140;413959;3407;414814;2552;417187;179;415761;1605;417022;344;404524;12842;407174;10192;414686;2680;393590;23776;412637;4729;416274;1092;412609;4757;396701;20665;417065;301;414447;2919;414644;2722;403344;14022;416861;505;401745;15621;415058;2308;410450;6916;405308;12058;319766;97600;417350;16;411980;5386;413459;3907;408314;9052;414716;2650;409683;7683;397083;20283;414453;2913;416897;469;417090;276;403246;14120;414326;3040;415938;1428;380861;36505;403637;13729;403551;13815;412256;5110;417139;227;414350;3016;417204;162;417357;9;405527;11839;417082;284;380320;37046;393443;23923
alkaloid;imidazole;w/;22464;22436;28;22375;89;22447;17;0;22464;21713;751;22462;2;22247;217;22414;50;22462;2;22338;126;22454;10;22214;250;22255;209;22451;13;20130;2334;22179;285;22456;8;22361;103;21884;580;22459;5;22458;6;22442;22;21862;602;22459;5;22382;82;22420;44;22416;48;22346;118;22054;410;22464;0;22434;30;22343;121;22458;6;22460;4;22407;57;22442;22;22446;18;22461;3;22463;1;22255;209;22350;114;22457;7;22284;180;22277;187;22394;70;22441;23;22451;13;22462;2;22462;2;22464;0;22417;47;22463;1;22429;35;22386;78
alkaloid;indole;w/o;412863;411925;938;403652;9211;409411;3452;391150;21713;412863;0;412738;125;409411;3452;410330;2533;412683;180;411192;1671;412518;345;400256;12607;402691;10172;410235;2628;387652;25211;408027;4836;411786;1077;408222;4641;392337;20526;412579;284;410002;2861;410166;2697;398714;14149;412374;489;397371;15492;410563;2300;405962;6901;400865;11998;315467;97396;412848;15;407491;5372;408878;3985;403861;9002;410254;2609;405186;7677;392642;20221;409953;2910;412395;468;412588;275;398582;14281;409719;3144;411433;1430;376376;36487;399051;13812;399262;13601;407793;5070;412628;235;409950;2913;412703;160;412854;9;401119;11744;412583;280;376010;36853;388976;23887
alkaloid;indole;w/;26967;26934;33;26753;214;26914;53;26216;751;0;26967;26950;17;26795;172;26898;69;26966;1;26907;60;26958;9;26482;485;26738;229;26902;65;26068;899;26789;178;26944;23;26748;219;26248;719;26945;22;26903;64;26920;47;26492;475;26946;21;26756;211;26915;52;26904;63;26789;178;26353;614;26966;1;26923;44;26924;43;26911;56;26922;45;26904;63;26883;84;26946;21;26963;4;26965;2;26919;48;26957;10;26962;5;26769;198;26863;104;26683;284;26904;63;26962;5;26862;105;26963;4;26967;0;26825;142;26962;5;26739;228;26853;114
alkaloid;indolizidine;w/o;439688;438717;971;430263;9425;436183;3505;417226;22462;412738;26950;439688;0;436071;3617;437086;2602;439507;181;437957;1731;439335;353;426607;13081;429287;10401;436996;2692;413581;26107;434682;5006;438600;1088;434828;4860;418447;21241;439399;289;436764;2924;436944;2744;425065;14623;439180;508;423985;15703;437336;2352;432726;6962;427513;12175;341682;98006;439672;16;434273;5415;435660;4028;430630;9058;437034;2654;431948;7740;419385;20303;436757;2931;439216;472;439411;277;425359;14329;436534;3154;438253;1435;403003;36685;425772;13916;425804;13884;434556;5132;439448;240;436670;3018;439525;163;439679;9;427802;11886;439403;285;402607;37081;415689;23999
alkaloid;indolizidine;w/;142;142;0;142;0;142;0;140;2;125;17;0;142;135;7;142;0;142;0;142;0;141;1;131;11;142;0;141;1;139;3;134;8;130;12;142;0;138;4;125;17;141;1;142;0;141;1;140;2;142;0;142;0;140;2;141;1;138;4;142;0;141;1;142;0;142;0;142;0;142;0;140;2;142;0;142;0;142;0;142;0;142;0;142;0;142;0;142;0;141;1;141;1;142;0;142;0;141;1;142;0;142;0;142;0;142;0;140;2
