,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,biotic,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,heat stress/heat tolerance/heat resistance/heat impact/heat change/temperature stress/temperature tolerance/temperature resistance/temperature impact/temperature change,heat stress/heat tolerance/heat resistance/heat impact/heat change/temperature stress/temperature tolerance/temperature resistance/temperature impact/temperature change,heavy metal stress/metallic trace element stress/heavy metal tolerance/metallic trace element tolerance/heavy metal resistance/metallic trace element resistance/heavy metal impact/metallic trace element impact/heavy metal change/metallic trace element change,heavy metal stress/metallic trace element stress/heavy metal tolerance/metallic trace element tolerance/heavy metal resistance/metallic trace element resistance/heavy metal impact/metallic trace element impact/heavy metal change/metallic trace element change,hydric stress/drought stress/hydric tolerance/drought tolerance/hydric resistance/drought resistance/hydric impact/drought impact/hydric change/drought change,hydric stress/drought stress/hydric tolerance/drought tolerance/hydric resistance/drought resistance/hydric impact/drought impact/hydric change/drought change,ph stress/ph tolerance/ph resistance/ph impact/ph change,ph stress/ph tolerance/ph resistance/ph impact/ph change,salt stress/salinity stress/salt tolerance/salinity tolerance/salt resistance/salinity resistance/salt impact/salinity impact/salt change/salinity change,salt stress/salinity stress/salt tolerance/salinity tolerance/salt resistance/salinity resistance/salt impact/salinity impact/salt change/salinity change,uv stress/light stress/uv tolerance/light tolerance/uv resistance/light resistance/uv impact/light impact/uv change/light change/irradiance,uv stress/light stress/uv tolerance/light tolerance/uv resistance/light resistance/uv impact/light impact/uv change/light change/irradiance,"antifeedant/phytophagous/herbivory/feeding
deterrents","antifeedant/phytophagous/herbivory/feeding
deterrents",attractant,attractant,germination,germination,herbicidal,herbicidal,phytotoxicity,phytotoxicity,pigment/colours,pigment/colours,pollination,pollination,quorum sensing,quorum sensing,repulsive,repulsive,root respiration/branching factors/root formation,root respiration/branching factors/root formation,seed dispersal,seed dispersal,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer/anti-tumour/anti-apoptotic/anti-angiogenic,anticancer/anti-tumour/anti-apoptotic/anti-angiogenic,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antioxidant,antioxidant,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,dementia/alzheimer,dementia/alzheimer,immuno-modulatory,immuno-modulatory,obesity,obesity,rheumatism,rheumatism,sedative/analgesic,sedative/analgesic,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
*,Σ,w/,438174,435051,3123,437662,512,435656,2518,437374,800,434596,3578,435838,2336,435448,2726,437654,520,430710,7464,437513,661,436196,1978,381415,56759,437091,1083,433593,4581,437606,568,437225,949,438055,119,399560,38614,400808,37366,402584,35590,429027,9147,413894,24280,379990,58184,339224,98950,436033,2141,424309,13865,427536,10638,436323,1851,417113,21061,379174,59000,426215,11959,438104,70,427313,10861,437352,822,422433,15741,426404,11770,380870,57304
alkaloid,benzylamine,w/o,436897,433779,3118,436385,512,434379,2518,436101,796,433325,3572,434561,2336,434172,2725,436377,520,429445,7452,436245,652,434918,1979,380181,56716,435813,1084,432316,4581,436337,560,435949,948,436777,120,398399,38498,399601,37296,401398,35499,427776,9121,412741,24156,378787,58110,338061,98836,434758,2139,423066,13831,426274,10623,435047,1850,415981,20916,378083,58814,425058,11839,436827,70,426093,10804,436075,822,421282,15615,425152,11745,379812,57085
alkaloid,benzylamine,w/,1277,1272,5,1277,0,1277,0,1273,4,1271,6,1277,0,1276,1,1277,0,1265,12,1268,9,1278,-1,1234,43,1278,-1,1277,0,1269,8,1276,1,1278,-1,1161,116,1207,70,1186,91,1251,26,1153,124,1203,74,1163,114,1275,2,1243,34,1262,15,1276,1,1132,145,1091,186,1157,120,1277,0,1220,57,1277,0,1151,126,1252,25,1058,219
alkaloid,colchicine,w/o,428819,425726,3093,428307,512,426320,2499,428022,797,425255,3564,426485,2334,426093,2726,428300,519,421533,7286,428163,656,426854,1965,372396,56423,427855,964,424240,4579,428255,564,427878,941,428701,118,391855,36964,391537,37282,394345,34474,419783,9036,404702,24117,370749,58070,330178,98641,426701,2118,415150,13669,420484,8335,427009,1810,408735,20084,371477,57342,417072,11747,428751,68,418193,10626,428105,714,413482,15337,417371,11448,373134,55685
alkaloid,colchicine,w/,9355,9325,30,9355,0,9336,19,9352,3,9341,14,9353,2,9355,0,9354,1,9177,178,9350,5,9342,13,9019,336,9236,119,9353,2,9351,4,9347,8,9354,1,7705,1650,9271,84,8239,1116,9244,111,9192,163,9241,114,9046,309,9332,23,9159,196,7052,2303,9314,41,8378,977,7697,1658,9143,212,9353,2,9120,235,9247,108,8951,404,9033,322,7736,1619
alkaloid,cyclopeptide,w/o,434676,431558,3118,434166,510,432160,2516,433878,798,431104,3572,432342,2334,431951,2725,434157,519,427245,7431,434017,659,432712,1964,377961,56715,433594,1082,430168,4508,434112,564,433728,948,434557,119,396214,38462,397697,36979,399447,35229,425562,9114,410860,23816,377056,57620,335811,98865,432551,2125,420939,13737,424775,9901,432827,1849,413748,20928,376348,58328,422781,11895,434607,69,423875,10801,433886,790,419035,15641,422972,11704,377809,56867
alkaloid,cyclopeptide,w/,3498,3493,5,3496,2,3496,2,3496,2,3492,6,3496,2,3497,1,3497,1,3465,33,3496,2,3484,14,3454,44,3497,1,3425,73,3494,4,3497,1,3498,0,3346,152,3111,387,3137,361,3465,33,3034,464,2934,564,3413,85,3482,16,3370,128,2761,737,3496,2,3365,133,2826,672,3434,64,3497,1,3438,60,3466,32,3398,100,3432,66,3061,437
alkaloid,imidazole,w/o,415779,412805,2974,415270,509,413269,2510,415054,725,412235,3544,413460,2319,413077,2702,415266,513,408414,7365,415143,636,413867,1912,360045,55734,414723,1056,411223,4556,415259,520,414836,943,415660,119,378917,36862,379947,35832,382697,33082,406862,8917,394789,20990,359185,56594,318496,97283,413818,1961,403386,12393,405651,10128,414082,1697,396727,19052,360521,55258,404377,11402,415712,67,405304,10475,414963,816,401454,14325,404666,11113,362333,53446
