,,,"*","abiotic","abiotic","abiotic","abiotic","abiotic","abiotic","abiotic","abiotic","abiotic","abiotic","abiotic","abiotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","biotic","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","pharmaco","toxicity","toxicity"
,,,"Σ","heat stress/heat tolerance/heat resistance/heat impact/heat change/temperature stress/temperature tolerance/temperature resistance/temperature impact/temperature change","heat stress/heat tolerance/heat resistance/heat impact/heat change/temperature stress/temperature tolerance/temperature resistance/temperature impact/temperature change","heavy metal stress/metallic trace element stress/heavy metal tolerance/metallic trace element tolerance/heavy metal resistance/metallic trace element resistance/heavy metal impact/metallic trace element impact/heavy metal change/metallic trace element change","heavy metal stress/metallic trace element stress/heavy metal tolerance/metallic trace element tolerance/heavy metal resistance/metallic trace element resistance/heavy metal impact/metallic trace element impact/heavy metal change/metallic trace element change","hydric stress/drought stress/hydric tolerance/drought tolerance/hydric resistance/drought resistance/hydric impact/drought impact/hydric change/drought change","hydric stress/drought stress/hydric tolerance/drought tolerance/hydric resistance/drought resistance/hydric impact/drought impact/hydric change/drought change","ph stress/ph tolerance/ph resistance/ph impact/ph change","ph stress/ph tolerance/ph resistance/ph impact/ph change","salt stress/salinity stress/salt tolerance/salinity tolerance/salt resistance/salinity resistance/salt impact/salinity impact/salt change/salinity change","salt stress/salinity stress/salt tolerance/salinity tolerance/salt resistance/salinity resistance/salt impact/salinity impact/salt change/salinity change","uv stress/light stress/uv tolerance/light tolerance/uv resistance/light resistance/uv impact/light impact/uv change/light change/irradiance","uv stress/light stress/uv tolerance/light tolerance/uv resistance/light resistance/uv impact/light impact/uv change/light change/irradiance","antifeedant/phytophagous/herbivory/feeding deterrents","antifeedant/phytophagous/herbivory/feeding deterrents","attractant","attractant","germination","germination","herbicidal","herbicidal","phytotoxicity","phytotoxicity","pigment/colour","pigment/colour","pollination","pollination","quorum sensing","quorum sensing","repulsive","repulsive","root respiration/branching factors/root formation","root respiration/branching factors/root formation","seed dispersal","seed dispersal","anti-inflammatory","anti-inflammatory","antibacterial","antibacterial","anticancer/anti-tumour/anti-apoptotic/anti-angiogenic","anticancer/anti-tumour/anti-apoptotic/anti-angiogenic","antidiabetic","antidiabetic","antifungal","antifungal","antimicrobial","antimicrobial","antioxidant","antioxidant","antiparasitic","antiparasitic","antiviral","antiviral","arthritis","arthritis","burns","burns","cardiovascular","cardiovascular","cytotoxicity","cytotoxicity","dementia/alzheimer","dementia/alzheimer","immuno-modulatory","immuno-modulatory","obesity","obesity","rheumatism","rheumatism","sedative/analgesic","sedative/analgesic","wound","wound","toxicity","toxicity"
,,,"w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/","w/o","w/"
"*","Σ","w/",439830,436682,3148,439307,523,437302,2528,439031,799,436235,3595,437491,2339,437069,2761,438935,895,432352,7478,439174,656,437826,2004,382847,56983,438729,1101,435239,4591,439266,564,438882,948,439710,120,401264,38566,401865,37965,404177,35653,430688,9142,415532,24298,381074,58756,340322,99508,437682,2148,425878,13952,429460,10370,437983,1847,418900,20930,380428,59402,427826,12004,439759,71,428942,10888,439018,812,424317,15513,428033,11797,382485,57345
"alkaloid","benzylamine","w/o",438859,435715,3144,438336,523,436331,2528,438063,796,435270,3589,436520,2339,436099,2760,437965,894,431391,7468,438212,647,436857,2002,381915,56944,437758,1101,434268,4591,438301,558,437912,947,438739,120,400373,38486,400958,37901,403277,35582,429739,9120,414655,24204,380174,58685,339453,99406,436713,2146,424937,13922,428500,10359,437013,1846,418022,20837,379616,59243,426939,11920,438788,71,428022,10837,438047,812,423418,15441,427082,11777,381684,57175
"alkaloid","benzylamine","w/",971,967,4,971,0,971,0,968,3,965,6,971,0,970,1,970,1,961,10,962,9,969,2,932,39,971,0,971,0,965,6,970,1,971,0,891,80,907,64,900,71,949,22,877,94,900,71,869,102,969,2,941,30,960,11,970,1,878,93,812,159,887,84,971,0,920,51,971,0,899,72,951,20,801,170
"alkaloid","colchicine","w/o",430405,427287,3118,429882,523,427896,2509,429609,796,426825,3580,428068,2337,427645,2760,429511,894,423106,7299,429754,651,428414,1991,373759,56646,429423,982,425816,4589,429845,560,429465,940,430286,119,393505,36900,392527,37878,395881,34524,421375,9030,406272,24133,371765,58640,331211,99194,428280,2125,416657,13748,422347,8058,428599,1806,410462,19943,372674,57731,418614,11791,430336,69,419752,10653,429702,703,415298,15107,418931,11474,374687,55718
"alkaloid","colchicine","w/",9425,9395,30,9425,0,9406,19,9422,3,9410,15,9423,2,9424,1,9424,1,9246,179,9420,5,9412,13,9088,337,9306,119,9423,2,9421,4,9417,8,9424,1,7759,1666,9338,87,8296,1129,9313,112,9260,165,9309,116,9111,314,9402,23,9221,204,7113,2312,9384,41,8438,987,7754,1671,9212,213,9423,2,9190,235,9316,109,9019,406,9102,323,7798,1627
"alkaloid","cyclopeptide","w/o",436325,433182,3143,435804,521,433799,2526,435528,797,432736,3589,433988,2337,433565,2760,435431,894,428879,7446,435671,654,434335,1990,379386,56939,435225,1100,431807,4518,435765,560,435378,947,436205,120,397912,38413,398747,37578,401034,35291,427216,9109,412493,23832,378136,58189,336903,99422,434193,2132,422503,13822,426692,9633,434480,1845,415529,20796,377599,58726,424385,11940,436255,70,425497,10828,435545,780,420912,15413,424595,11730,379416,56909
"alkaloid","cyclopeptide","w/",3505,3500,5,3503,2,3503,2,3503,2,3499,6,3503,2,3504,1,3504,1,3473,32,3503,2,3491,14,3461,44,3504,1,3432,73,3501,4,3504,1,3505,0,3352,153,3118,387,3143,362,3472,33,3039,466,2938,567,3419,86,3489,16,3375,130,2768,737,3503,2,3371,134,2829,676,3441,64,3504,1,3445,60,3473,32,3405,100,3438,67,3069,436
"alkaloid","imidazole","w/o",417366,414367,2999,416846,520,414846,2520,416643,723,413806,3560,415044,2322,414629,2737,416486,880,409987,7379,416735,631,415429,1937,361414,55952,416292,1074,412800,4566,416851,515,416425,941,417246,120,380554,36812,380951,36415,384224,33142,408454,8912,396366,21000,360207,57159,319530,97836,415399,1967,404895,12471,407509,9857,415673,1693,398446,18920,361730,55636,405920,11446,417298,68,406866,10500,416560,806,403272,14094,406227,11139,363887,53479
