,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,antioxidant,antioxidant,drought,drought,metal,metal,salt,salt,uv,uv,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer,anticancer,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,obesity,obesity,rheumatism,rheumatism,sedative,sedative,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
*,Σ,w/,250082,185802,64280,248944,1138,224141,25941,236470,13612,243343,6739,249882,200,250071,11,249955,127,247555,2527,249882,200,250066,16,250043,39,248815,1267,249145,937,250021,61,249961,121,232709,17373,229514,20568,245271,4811,243984,6098,234974,15108,227571,22511,248972,1110,240817,9265,242590,7492,248869,1213,239708,10374,208573,41509,244972,5110,250010,72,247571,2511,243035,7047,223411,26671
alkaloid,acridine,w/o,247332,183327,64005,246196,1136,221650,25682,233883,13449,240674,6658,247133,199,247321,11,247205,127,244816,2516,247133,199,247316,16,247293,39,246073,1259,246405,927,247271,61,247216,116,230022,17310,226895,20437,242673,4659,241248,6084,232303,15029,224903,22429,246248,1084,238184,9148,239866,7466,246135,1197,237006,10326,207150,40182,242225,5107,247260,72,244829,2503,240364,6968,221076,26256
alkaloid,acridine,w/,2750,2475,275,2748,2,2491,259,2587,163,2669,81,2749,1,2750,0,2750,0,2739,11,2749,1,2750,0,2750,0,2742,8,2740,10,2750,0,2745,5,2687,63,2619,131,2598,152,2736,14,2671,79,2668,82,2724,26,2633,117,2724,26,2734,16,2702,48,1423,1327,2747,3,2750,0,2742,8,2671,79,2335,415
alkaloid,benzylamine,w/o,249222,185015,64207,248084,1138,223450,25772,235692,13530,242508,6714,249022,200,249211,11,249095,127,246699,2523,249028,194,249206,16,249183,39,247957,1265,248285,937,249161,61,249102,120,231904,17318,228685,20537,244430,4792,243137,6085,234188,15034,226734,22488,248114,1108,239981,9241,241742,7480,248010,1212,238941,10281,207841,41381,244147,5075,249150,72,246717,2505,242195,7027,222653,26569
alkaloid,benzylamine,w/,860,787,73,860,0,691,169,778,82,835,25,860,0,860,0,860,0,856,4,854,6,860,0,860,0,858,2,860,0,860,0,859,1,805,55,829,31,841,19,847,13,786,74,837,23,858,2,836,24,848,12,859,1,767,93,732,128,825,35,860,0,854,6,840,20,758,102
alkaloid,colchicine,w/o,244172,180095,64077,243038,1134,218319,25853,230750,13422,237454,6718,243972,200,244161,11,244045,127,241692,2480,243972,200,244156,16,244133,39,242914,1258,243236,936,244111,61,244052,120,227709,16463,223650,20522,239536,4636,238178,5994,229197,14975,221710,22462,243079,1093,235023,9149,238355,5817,242991,1181,234467,9705,203933,40239,239242,4930,244120,52,241695,2477,237349,6823,218372,25800
alkaloid,colchicine,w/,5910,5707,203,5906,4,5822,88,5720,190,5889,21,5910,0,5910,0,5910,0,5863,47,5910,0,5910,0,5910,0,5901,9,5909,1,5910,0,5909,1,5000,910,5864,46,5735,175,5806,104,5777,133,5861,49,5893,17,5794,116,4235,1675,5878,32,5241,669,4640,1270,5730,180,5890,20,5876,34,5686,224,5039,871
alkaloid,cyclopeptide,w/o,247356,183134,64222,246219,1137,221584,25772,233781,13575,240633,6723,247156,200,247345,11,247229,127,244847,2509,247157,199,247340,16,247318,38,246102,1254,246484,872,247295,61,247235,121,230076,17280,227044,20312,242593,4763,241288,6068,232638,14718,225219,22137,246255,1101,238190,9166,240564,6792,246145,1211,237064,10292,206396,40960,242293,5063,247291,65,244849,2507,240360,6996,220862,26494
alkaloid,cyclopeptide,w/,2726,2668,58,2725,1,2557,169,2689,37,2710,16,2726,0,2726,0,2726,0,2708,18,2725,1,2726,0,2725,1,2713,13,2661,65,2726,0,2726,0,2633,93,2470,256,2678,48,2696,30,2336,390,2352,374,2717,9,2627,99,2026,700,2724,2,2644,82,2177,549,2679,47,2719,7,2722,4,2675,51,2549,177
alkaloid,imidazole,w/o,233263,170084,63179,232133,1130,209913,23350,220858,12405,226836,6427,233066,197,233252,11,233137,126,230790,2473,233072,191,233247,16,233224,39,232044,1219,232346,917,233208,55,233144,119,216887,16376,213584,19679,228798,4465,227361,5902,220542,12721,211436,21827,232247,1016,225237,8026,226160,7103,232172,1091,224154,9109,194629,38634,228453,4810,233192,71,231243,2020,226690,6573,208388,24875
alkaloid,imidazole,w/,16819,15718,1101,16811,8,14228,2591,15612,1207,16507,312,16816,3,16819,0,16818,1,16765,54,16810,9,16819,0,16819,0,16771,48,16799,20,16813,6,16817,2,15822,997,15930,889,16473,346,16623,196,14432,2387,16135,684,16725,94,15580,1239,16430,389,16697,122,15554,1265,13944,2875,16519,300,16818,1,16328,491,16345,474,15023,1796
alkaloid,indole,w/o,236353,173430,62923,235271,1082,211950,24403,223470,12883,229908,6445,236157,196,236342,11,236239,114,234011,2342,236159,194,236337,16,236316,37,235130,1223,235589,764,236295,58,236233,120,220034,16319,216852,19501,232041,4312,230494,5859,222006,14347,214666,21687,235299,1054,227966,8387,229175,7178,235159,1194,226779,9574,198615,37738,231591,4762,236293,60,233922,2431,229672,6681,211090,25263
alkaloid,indole,w/,13729,12372,1357,13673,56,12191,1538,13000,729,13435,294,13725,4,13729,0,13716,13,13544,185,13723,6,13729,0,13727,2,13685,44,13556,173,13726,3,13728,1,12675,1054,12662,1067,13230,499,13490,239,12968,761,12905,824,13673,56,12851,878,13415,314,13710,19,12929,800,9958,3771,13381,348,13717,12,13649,80,13363,366,12321,1408
alkaloid,indolizidine,w/o,250009,185730,64279,248871,1138,224070,25939,236406,13603,243270,6739,249809,200,249998,11,249882,127,247482,2527,249809,200,249993,16,249970,39,248743,1266,249072,937,249948,61,249889,120,232638,17371,229446,20563,245204,4805,243917,6092,234905,15104,227504,22505,248901,1108,240758,9251,242518,7491,248796,1213,239635,10374,208527,41482,244899,5110,249937,72,247498,2511,242963,7046,223342,26667
alkaloid,indolizidine,w/,73,72,1,73,0,71,2,64,9,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,72,1,73,0,73,0,72,1,71,2,68,5,67,6,67,6,69,4,67,6,71,2,59,14,72,1,73,0,73,0,46,27,73,0,73,0,73,0,72,1,69,4
alkaloid,isoquinoline,w/o,248004,183868,64136,246868,1136,222217,25787,234536,13468,241286,6718,247806,198,247993,11,247877,127,245483,2521,247807,197,247988,16,247965,39,246744,1260,247070,934,247943,61,247884,120,230732,17272,227570,20434,243282,4722,241955,6049,233001,15003,225602,22402,246910,1094,239065,8939,240573,7431,246796,1208,237735,10269,207145,40859,242929,5075,247932,72,245512,2492,240988,7016,221528,26476
